"","HDS_richness","mean_QDS_turnover","Elevation","MAP","PDQ","Surface.T","NDVI","CEC","Clay","Soil.C","pH","rough_Elevation","rough_MAP","rough_PDQ","rough_Surface.T","rough_NDVI","rough_CEC","rough_Clay","rough_Soil.C","rough_pH"
"1",1379,0.871479198933698,485.957643454083,100.429776216329,9.21073084564635,306.070132974626,17108665.0546863,7.0481731819384,10.3416605236554,38.9113394419352,68.9787209636033,234.2095064888,17.0339877095787,1.73694336509319,1.64083104197039,1680137.3039446,1.50131003673089,2.19206512459187,5.01746202072938,9.78028863114431
"2",1379,0.814436608038744,686.292260373019,98.555860961477,9.887461796426,305.97490866432,14305040.2212167,7.54355808404776,8.52955401860751,31.5985115784865,71.0017997154823,169.136469008438,23.3324063569029,1.77613033238655,0.810737364296196,2190776.49581162,1.11353498500061,1.73863843730663,9.74023360871458,4.25587877981663
"3",586,0.871479198933698,193.229330653564,131.939064850042,12.177139228333,305.969850816993,18508319.9413786,9.11565099716186,9.70148743748665,23.7380233287811,70.5304167616367,236.313499396246,29.501473360949,2.01332074848437,1.78718442237528,1857558.44304167,1.14529112143111,2.35514350482349,10.1878110456037,11.8536974696342
"4",23,0.754619377464766,739.768037952948,155.472237985399,12.8611203135921,304.210711165577,19022248.8562092,9.30174540996551,12.8484232759476,39.1675390529633,68.3909395217895,228.721535529664,31.0443301476902,2.09981003731395,1.44653755792817,2523438.99007738,1.32190509548576,2.95399653996611,11.2333772161148,5.05450298556916
"5",568,0.951486535208143,912.901038928662,144.977612905363,13.4280377857609,305.815177812988,15669248.916177,6.70074938764476,10.0472685785005,19.8424276679453,78.0540600400982,145.317789009939,31.0644918388547,2.39718263829164,0.991188513448631,2169916.87787446,1.49435709732897,2.8712897661939,10.0222502015349,5.43818901258851
"6",141,0.972222222222222,837.324799883019,115.46854051484,17.1332618206292,305.675859636538,14768972.1823689,5.78885814620227,8.7571170155595,12.463813095558,81.4412290991806,80.062891739203,27.3267631684857,3.48170457511463,0.82875167566113,1126635.31872586,1.0602952925999,2.55429433550781,5.35438164380582,3.32349324066241
"7",664,1,962.721447225707,137.178543965357,22.2629829245697,305.301546634125,15503382.1805797,6.79349574559852,9.66634003723724,12.8402926589869,80.7151010247726,78.7446377474729,16.0989094156907,4.08129779459374,0.406998223398684,1089953.76623478,0.700130750083371,2.17559890046971,3.07605040032075,1.37562928095527
"8",586,0.874727146485645,163.925425809055,144.157772664212,18.9902011098014,303.332278795777,20351587.8879732,8.35474759113939,9.47839422716028,25.0984639880023,54.72904946812,194.218163126212,24.8122001664813,5.01087946021699,1.82259477939325,2204429.32953505,1.38938638136695,3.20578216404508,11.4002479730112,15.2529499193657
"9",257,0.830123675498324,546.3359783114,178.965193341573,13.2135737597217,304.484063834423,23054703.8398693,10.2096945738792,16.0300844764709,47.1253692245483,66.6071596908569,293.327943606061,22.441655278462,2.48745435470056,1.27652834292278,3035821.27200087,1.23592110989315,3.81453789653507,12.9376767209494,7.07193953675824
"10",609,0.951486535208143,887.71387257385,182.899131554498,15.2378368524084,304.197516884531,17961804.8747277,9.10070683002472,14.5849808979034,31.6900842857361,69.0952519989014,139.265365582162,22.275600258407,2.63583539120003,0.854886416414363,3061807.95134771,1.13445169349128,2.64033521533786,11.2419385776434,4.57132408454773
